Year,Session,Varient,Question,Marks,Topic
2024,October,1,Q1,5,statistics
2024,October,1,Q2,2,constructions
2024,October,1,Q3,6,algebra
2024,October,1,Q4,3,sets
2024,October,1,Q5,7,mensuration
2024,October,1,Q6,2,numbers
2024,October,1,Q7,4,numbers
2024,October,1,Q8,6,algebra
2024,October,1,Q9,3,numbers
2024,October,1,Q10,5,similarity
2024,October,1,Q11,4,graphs
2024,October,1,Q12,4,trigonometry
2024,October,1,Q13,4,probability
2024,October,1,Q14,3,variation
2024,October,1,Q15,3,algebra
2024,October,1,Q16,4,circles
2024,October,1,Q17,4,surds
2024,October,1,Q18,4,statistics
2024,October,1,Q19,5,sequences
2024,October,1,Q20,4,calculas
2024,October,1,Q21,3,bounds
2024,October,1,Q22,3,mensuration
2024,October,1,Q23,5,coordinate geometry
2024,October,1,Q24,4,vectors
2024,October,1,Q25,4,functions
2024,May,1,Q1,3,sequences
2024,May,1,Q2,4,probability
2024,May,1,Q3,2,numbers
2024,May,1,Q4,3,numbers
2024,May,1,Q5,4,geometry
2024,May,1,Q6,5,algebra
2024,May,1,Q7,5,sets
2024,May,1,Q8,3,mensuration
2024,May,1,Q9,3,numbers
2024,May,1,Q10,4,indices
2024,May,1,Q11,4,trigonometry
2024,May,1,Q12,5,algebra
2024,May,1,Q13,5,probability
2024,May,1,Q14,5,numbers
2024,May,1,Q15,4,functions
2024,May,1,Q16,4,probability
2024,May,1,Q17,3,surds
2024,May,1,Q18,5,calculas
2024,May,1,Q19,5,trigonometry
2024,May,1,Q20,4,mensuration
2024,May,1,Q21,2,transformation of functions
2024,May,1,Q22,3,statistics
2024,May,1,Q23,5,mensuration
2024,May,1,Q24,6,geometry
2024,May,1,Q25,4,algebra
2024,May,2,Q1,3,probability
2024,May,2,Q2,4,probability
2024,May,2,Q3,5,numbers
2024,May,2,Q4,3,numbers
2024,May,2,Q5,3,numbers
2024,May,2,Q6,4,mensuration
2024,May,2,Q7,9,algebra
2024,May,2,Q8,6,mensuration
2024,May,2,Q9,3,coordinate geometry
2024,May,2,Q10,2,statistics
2024,May,2,Q11,4,numbers
2024,May,2,Q12,4,algebra
2024,May,2,Q13,5,circles
2024,May,2,Q14,6,algebra
2024,May,2,Q15,3,trigonometry
2024,May,2,Q16,3,statistics
2024,May,2,Q17,4,surds
2024,May,2,Q18,4,similarity
2024,May,2,Q19,5,calculas
2024,May,2,Q20,5,transformation of functions
2024,May,2,Q21,5,probability
2024,May,2,Q22,6,mensuration
2024,May,2,Q23,4,sequences
